Text,Start Time,Duration
under the principles we think resolve,503.32,1.65
this case in Ashcroft and free and,504.97,1.56
Bartnik II that it would be still going,506.53,3.3
after groves is speech because some,509.83,2.759
third person quite apart from that,512.5889999999999,1.621
speech would be using it to commit a,514.21,1.889
criminal act it's important to note here,516.099,2.011
that just as it would be a third,518.11,2.16
person's independent choice to take this,520.27,2.25
firearm once it was assembled and use it,522.52,1.86
to commit a crime it's also an,524.38,1.47
independent choice on the part of the,525.85,1.35
downloader to choose not to insert the,527.2,2.19
metal slug that grouse has instructed,529.39,2.1
people who download this firearm to do,531.49,2.82
so we think either way that this is,534.31,4.5
still going after speech because the,538.81,2.43
government is worried that some,541.24,2.219
listeners for that speech will put it to,543.459,1.591
unlawful uses and that gets to the,545.05,1.74
second core point I would like to make,546.79,1.56
about this law being significantly,548.35,1.77
over-inclusive we think this law is,550.12,1.98
really no different than regulating all,552.1,2.179
leafleting to prevent littering of,554.279,2.711
course some recipients of leaflets as,556.99,1.86
this court said in the Schneider case,558.85,1.17
will put it to the littering use but,560.02,2.37
where the state retains the power to go,562.39,1.92
after littering primarily it is not,564.31,2.04
allowed to go after the leafleting even,566.35,2.04
though that would perhaps be a slightly,568.39,1.29
more effective way of advancing their,569.68,1.47
goals you could you speak to the import,571.15,2.37
of the statutes restriction on,573.52,2.37
publication to the internet other modes,575.89,2.55
of publication are made available you've,578.44,2.16
made an argument that making the schema,580.6,4.44
schematics available is important to,585.04,2.52
artistic and scientific and,587.56,1.86
entertainment serves other kind of,589.42,1.289
communicative values but your client has,590.7090000000001,3.361
available to him,594.07,1.019
their means of publication that is,595.0889999999999,1.92
offline sharing and just less broad and,597.009,6.171
perhaps unobservable ways of serving,603.18,4.0
those other purposes while mitigating,607.18,2.759
the risk that would be created by,609.939,3.781
Internet publication Wyson this is just,613.72,2.4
a kind of time place and manner,616.12,1.139
restriction that's tolerable in the,617.259,2.07
study circumstances sure your honor two,619.329,2.01
points on that first and foremost we do,621.3389999999999,1.92
not submit it's it's properly analyzed,623.259,2.161
as a time place manner restriction,625.42,1.289
because it's our submission that it's a,626.709,1.591
facially content-based regulation of the,628.3,1.709
speech and as this court said precisely,630.009,2.041
on point in the reno case if it is a,632.05,2.039
content-based regulation of speech than,634.0889999999999,2.131
even regulating various modalities of,636.22,2.46
internet communication as the court said,638.68,1.649
is not permissible because time place,640.329,1.8
manner analysis is not permissible for,642.129,1.62
facially content-based regulations but,643.749,2.371
your honor brings up an important point,646.12,1.769
about the use of the internet here and I,647.889,1.5
think the one piece of communication,649.389,3.06
that really can't be achieved by not,652.449,2.01
being able to share this with all the,654.4590000000001,1.411
citizens of Ames who will put it to,655.87,2.219
lawful and valuable uses is that the,658.0889999999999,2.761
Internet as this court said in Reno is a,660.85,2.7
more powerful soapbox than ever before,663.55,1.979
and as this court said in packing ham,665.529,1.41
just just two terms ago is is the,666.939,2.49
probably the most important way now that,669.429,2.611
citizens share information with each,672.04,1.649
other both to speak and to listen does,673.689,2.49
this statute prevents you from putting,676.179,3.181
up a website that would say that you,679.36,2.699
would send this to anyone who wants it,682.059,2.22
and then sending it in a drive to,684.279,2.67
somebody this does that is that,686.949,2.7
prohibited Your Honor I think that's,689.649,2.19
probably not prohibited I think,691.8389999999999,1.92
certainly I don't think the state thinks,693.759,1.68
that would be prohibited and since,695.439,1.051
that's what they argue and I don't think,696.49,2.88
that would be making the file itself,699.37,1.62
available on the internet which i think,700.99,1.5
is what the statute requires I'm sorry,702.49,3.269
why wait on a website you list that you,705.759,5.58
have this CAD program if you want to ask,711.3389999999999,3.271
us first tell us who you are right and,714.61,2.339
your honor our submission would be if we,716.949,1.68
understand the statute correctly that's,718.629,1.26
not covered by the statute exactly so,719.889,2.7
why isn't that an adequate alternative,722.589,1.761
why it's not being barred,724.35,2.22
website at all well first I think it's,726.57,2.28
the adequate alternatives analysis would,728.85,1.95
only matter if this law were evaluated,730.8,1.59
under intermediate scrutiny rather than,732.39,1.38
strict scrutiny we should which we,733.77,1.38
submit it should not be but second I,735.15,2.28
think there is still something quite,737.43,1.38
different well this is not quite speech,738.81,2.81
its speech that acts so why should it be,741.62,4.0
subject to strict scrutiny well your,745.62,1.92
honor our it's our submission that it is,747.54,1.47
speech and it's protected speech because,749.01,1.8
the Act criminalized by the statute is,750.81,2.82
not the use of this file or directing a,753.63,2.97
3d printer to do anything,756.6,1.29
it's the publication the dissemination,757.89,2.07
of this design of this blueprint from,759.96,2.64
person to person using the Internet as a,762.6,2.1
medium and we submit just as this court,764.7,1.74
said in Bartnik II and in Sorrell it,766.44,2.43
strongly suggested that when a person,768.87,1.95
has information especially truthful,770.82,1.77
information and is prevented from,772.59,1.53
disseminating it as they see fit that's,774.12,1.8
a restriction on their right to speak,775.92,1.86
are you saying this is a purse a prior,777.78,2.7
restraint on speech Your Honor we don't,780.48,2.4
evaluate it under a prior restraint,782.88,1.56
approach because unlike the the use of,784.44,3.09
the export regulations and the defense,787.53,1.47
distributed case this simply imposes a,789.0,2.64
quite severe criminal penalty so that's,791.64,2.16
after the fact you're not enjoined in,793.8,1.92
any way there hasn't been an injunction,795.72,1.86
and we don't think the statute provides,797.58,1.74
for that no but we still think just like,799.32,2.25
the use of the the ITAR law in the,801.57,3.09
defence distributed case this is a,804.66,1.29
content-based regulation of speech and,805.95,1.86
should thus be subject to strict,807.81,1.14
scrutiny,808.95,0.69
well these only been around for a long,809.64,1.44
time and maybe that's you I think you,811.08,2.85
think that's a plus but have any courts,813.93,2.58
grappled with these issues Your Honor,816.51,2.37
the defense distributed litigation in,818.88,1.53
the Fifth Circuit I think did grapple,820.41,1.47
with it but the district court there,821.88,2.22
really didn't analyze the First,824.1,1.8
Amendment issue very much at all they,825.9,1.92
because it was a prior restraint and,827.82,1.89
because the plaintiffs there were,829.71,1.59
seeking an injunction the court really,831.3,2.04
focuses an analysis on the preliminary,833.34,3.06
injunction factors and really ended up,836.4,2.01
saying that at least in that case the,838.41,1.56
United States government's interest in,839.97,1.91
preventing the dissemination of those,841.88,2.53
files overseas really overcame any,844.41,2.28
analysis here but really it's a quite,846.69,1.47
different case here precisely because,848.16,2.13
the rights to receive this information,850.29,1.35
of citizens and aims are also being,851.64,2.67
violated by this law and this Court has,854.31,1.59
said consistently that the First,855.9,2.25
Amendment protects not just the rights,858.15,1.41
of speech,859.56,0.75
but also of listeners and this gets back,860.31,2.1
to justice carnies question about the,862.41,2.01
use of the Internet we think preventing,864.42,2.46
the dissemination of this information,866.88,1.02
over the Internet,867.9,1.47
really does burden heavily the Rights of,869.37,2.58
Persons and aims who are going to put,871.95,1.71
this information to lawful and valuable,873.66,2.13
uses let me interrupt for just a minute,875.79,1.86
I mean is your position following up on,877.65,2.61
justice Sotomayor's question is your,880.26,2.16
position that the fact that there is a,882.42,1.65
significant functional aspect to the CAD,884.07,3.66
files that are downloadable albeit with,887.73,2.67
additional expertise and action by the,890.4,2.04
receiver is it your position that has no,892.44,2.55
effect on our analysis that this is,894.99,1.74
purely a content-based speech regulation,896.73,2.4
and we should overlook the technological,899.13,2.7
aspects of the information that's being,901.83,1.53
conveyed your honor right I think that,903.36,1.74
is our submission and for two important,905.1,1.98
reasons I think it would be a mistake to,907.08,1.92
follow the Corley court and other courts,909.0,2.13
that considered speech the courts the,911.13,1.98
state the state addresses in their brief,913.11,2.16
and diminished the protection of this,915.27,2.04
speech exempt it from the normal,917.31,2.279
presumption against the,919.5889999999999,1.261
constitutionality of content-based,920.85,1.41
restrictions we think that would be the,922.26,1.35
case for two reasons first Reid made,923.61,3.0
very clear that the before we get to the,926.61,2.16
government's purpose in looking at,928.77,2.069
whether a law is content-based or,930.8389999999999,1.291
content neutral we first have to ask,932.13,1.83
whether it is facially content-based on,933.96,2.129
its face or not and we submit this law,936.0889999999999,1.861
is facially content-based on its face,937.95,1.71
quite clearly it only prescribes,939.66,2.37
publication of this information if it,942.03,2.16
describes a certain kind of firearm so,944.19,1.92
that's clearly facially content-based,946.11,1.77
but again regardless of its functional,947.88,2.3
purpose so if it were a recipe to create,950.18,5.67
some toxic drug it's still a recipe no,955.85,4.42
more than that and they should overlook,960.27,1.68
the other aspects and the state is,961.95,1.889
misguided than in your view in pointing,963.839,2.941
out that the ready availability of this,966.78,3.48
recipe could undermine its whole gun,970.26,4.11
regulation scheme for in terms of,974.37,1.71
tracking guns and so on your honor it,976.08,2.25
has no import at all in your view I,978.33,1.68
think that's right your honor because I,980.01,1.5
think the state's interest would be the,981.51,1.29
same if it wanted to go after the,982.8,2.039
publication of gunsmithing manuals in,984.8389999999999,1.981
books they would still have a fear that,986.82,1.83
persons would be able to as we say in,988.65,2.55
our brief order unfinished lower,991.2,1.53
receivers and all of the,992.73,1.17
the necessary parts from the internet,993.9,1.38
which they can now do completely,995.28,1.41
unregulated and assemble those firearms,996.69,2.1
I think the interest would be the same,998.79,1.59
does it matter that your clients version,1000.38,3.15
is not a fully functional version that,1003.53,3.06
it requires some the end-user to have,1006.59,3.57
the right software to download it,1010.16,2.4
properly I think it matters to the,1012.56,2.34
analysis of whether or not this is,1014.9,1.56
speech that's itself integral to,1016.46,1.56
criminal conduct,1018.02,1.41
perhaps if this firearm if this was,1019.43,3.36
essentially equivalent to the,1022.79,2.069
distribution of the firearm itself if,1024.859,1.801
there really was no difference and no,1026.66,1.74
distance between the act of uploading,1028.4,1.919
this file to the internet and the and,1030.319,1.741
then the downloader having a working,1032.06,1.35
firearm in their hand perhaps we would,1033.41,2.37
say that it is essentially the,1035.78,1.23
distribution of a firearm there is a,1037.01,1.71
difference because doesn't themes have a,1038.72,3.27
law that you have to register any,1041.99,1.859
firearm that you possess Your Honor I'm,1043.849,3.51
not aware of that law if that law exists,1047.359,2.551
I do not believe it does i understanding,1049.91,2.13
is in a names just like under federal,1052.04,1.83
law if one manufactures a firearm for,1053.87,2.28
home use only then it does not need to,1056.15,1.8
be registered or serialized but indeed,1057.95,2.61
it's your honor raises an important,1060.56,1.86
point that other states have,1062.42,2.3
requirements just like that as we say in,1064.72,2.62
our brief at our opening brief at page,1067.34,1.5
36 the state of California has responded,1068.84,2.52
to the problem of potential 3d printing,1071.36,2.34
of firearms by requiring the,1073.7,2.07
serialization and registration of any,1075.77,1.8
firearm plastic are not manufactured at,1077.57,2.34
home and it's our understanding this,1079.91,1.65
just happened recently that New Jersey,1081.56,1.26
is about to pass a law that would outlaw,1082.82,2.46
the 3d printing of firearms altogether,1085.28,1.89
now it's our submission and our third,1087.17,1.8
argument is that where other,1088.97,1.74
jurisdictions have seen that less speech,1090.71,2.67
restrictive alternatives are effective,1093.38,2.04
and work that raises a strong,1095.42,1.62
presumption as this court put it in the,1097.04,1.44
McCullen case that the state has formed,1098.48,2.46
scuse me how do we know that they work,1100.94,1.7
well your honor it raises an inference,1102.64,3.28
that they work because these files have,1105.92,1.65
been online for five years as we say,1107.57,2.37
since Cody Wilson first put his files on,1109.94,1.86
the internet they've been easily,1111.8,0.9
findable the states have really seen no,1112.7,2.28
problems at least with single-shot,1114.98,2.88
plastic firearms and because other,1117.86,2.4
jurisdictions have seen that they're,1120.26,1.44
able to to achieve their interest or at,1121.7,2.19
least think that they will in the last,1123.89,2.16
couple of years not by going,1126.05,1.48
after speech as the state of aims is,1127.53,1.56
done here so we have to wait until,1129.09,1.68
people are murdered your I can't,1130.77,3.03
the shooter can't be traced and there's,1133.8,4.29
no way of detecting who the perpetrator,1138.09,4.47
is before states can take a prophylactic,1142.56,3.36
measure to protect themselves Your Honor,1145.92,4.59
we don't think the state has to wait for,1150.51,1.41
people to be murdered it's our,1151.92,1.5
submission that where we've provided,1153.42,1.29
many reasons why bad actors are really,1154.71,2.91
unlikely to use 3d printing as a way to,1157.62,2.19
circumvent the law they have other means,1159.81,1.59
at their disposal the state has,1161.4,1.62
especially its strict scrutiny heavy,1163.02,1.98
burden to overcome to show that it in,1165.0,2.1
fact that is not the case,1167.1,1.08
thank you we ask this court reverse,1168.18,3.47
[Music],1175.1,3.17
you may proceed madam Chief Justice and,1189.36,3.3
may it please the court my name is,1192.66,1.68
Katherine McCaffrey and on behalf of,1194.34,2.01
petitioner Ian groves I will address the,1196.35,1.86
Second Amendment issue 15 years ago mr.,1198.21,3.599
groves committed a non-violent crime,1201.809,1.261
which was classified by the state of,1203.07,1.77
aims as a misdemeanor and for which he,1204.84,1.86
received no jail time today aim seeks to,1206.7,3.0
enforce a statute that would prevent him,1209.7,1.59
from possessing any type of firearm for,1211.29,2.04
any purpose for the rest of his life the,1213.33,2.49
statute is unconstitutional as applied,1215.82,1.62
to mr. groves for two reasons first it,1217.44,3.0
is a complete and permanent deprivation,1220.44,2.19
of his fundamental right to bear arms,1222.63,1.59
and those should be subject to per se,1224.22,1.8
invalidation second at the very least,1226.02,2.789
the state cannot justify the burden at,1228.809,2.281
this ban imposes can I back you up a,1231.09,3.12
moment there are only two states left,1234.21,4.709
maybe just one that banned felons from,1238.919,3.961
ever voting and we've upheld those bans,1242.88,4.049
as the prerogative of the states why is,1246.929,4.111
it that the mere conviction of an,1251.04,3.03
individual is not a forfeiture or waiver,1254.07,3.72
of entitlement to certain constitutional,1257.79,2.85
rights including this one the possession,1260.64,2.73
of a firearm what makes this any,1263.37,2.37
different than the fundamental right to,1265.74,2.58
vote we permit states to ban that,1268.32,4.8
fundamental right why shouldn't we,1273.12,3.08
permit the government to ban the right,1276.2,4.03
to own a firearm because your honor as,1280.23,3.54
this court said in Heller the scope of,1283.77,1.86
the Second Amendment is set by the,1285.63,1.41
original public understanding of the,1287.04,1.71
right and so we need to look to practice,1288.75,1.89
at the time of the founding to,1290.64,1.44
understand what the original public,1292.08,2.099
understanding of the right was now the,1294.179,1.891
historical evidence we have uncovered,1296.07,2.0
indicates that the time of the founding,1298.07,2.109
an individual convicted of a crime was,1300.179,2.431
only stripped of their firearm rights in,1302.61,1.65
two instances when they were,1304.26,1.409
incarcerated or when they were sentenced,1305.669,1.89
to a crime punishable by death in both,1307.559,2.041
of those instances the individual also,1309.6,1.829
lost their political rights in contrast,1311.429,2.341
in cases where the individual did not,1313.77,1.59
lose their political rights upon,1315.36,1.319
conviction they did not lose their right,1316.679,1.801
to bear arms this indicate you're,1318.48,1.77
showing me the,1320.25,0.84
all those laws we've upheld denying,1321.09,2.94
convicted felons the opportunity to vote,1324.03,3.51
while they're on probation many states,1327.54,2.31
have that law all of the states that had,1329.85,4.32
lifetime voting bans those are,1334.17,2.7
unconstitutional as well no your honor,1336.87,2.97
we limit still haven't told me why you,1339.84,3.65
haven't amendment is more fundamental,1343.49,2.47
than those other rights it's certainly,1345.96,2.73
not your honor the reason we conduct the,1348.69,2.04
Second Amendment analysis in this way is,1350.73,1.8
because Heller has instructed us to do,1352.53,2.01
so the Second Amendment right to bear,1354.54,1.98
arms was the codification of a,1356.52,1.65
pre-existing right to bear arms that,1358.17,2.04
existed under British common law,1360.21,1.29
starting in the year 1689 and so the,1361.5,2.76
founding generation was not developing,1364.26,1.5
any new right they were merely codifying,1365.76,1.98
a right that already existed that's part,1367.74,2.22
of why the court in Heller Alfa's I'm,1369.96,1.53
sorry I thought our Constitution was,1371.49,2.43
creating new rights as this courts right,1373.92,3.69
not to quarters soldiers was not a,1377.61,3.66
British right it was codified in our,1381.27,4.02
Constitution because our founding,1385.29,2.19
fathers were upset that that was,1387.48,2.88
happening in Britain,1390.36,1.16
my apologies are on there that's,1391.52,1.9
certainly right the Second Amendment,1393.42,1.86
right was not at the creation of a new,1395.28,1.62
right but the codification of a,1396.9,1.86
pre-existing right to bear arms and it,1398.76,2.19
seems at the time of the founding that,1400.95,1.5
right was limited to members of the,1402.45,1.5
political community Ian groves as far as,1403.95,2.43
we know remains a member of the,1406.38,1.47
political community and that's why he,1407.85,1.83
retains his second Amendment right to,1409.68,1.56
vote does your argument depend at all on,1411.24,1.98
the fact that a misdemeanor that this,1413.22,3.39
would have been a misdemeanor and this,1416.61,1.68
would not have been a felony at the time,1418.29,1.92
of the founding under any historical,1420.21,2.73
understanding of his the crime that he,1422.94,2.7
committed just do you make that argument,1425.64,2.58
or is that not part of your argument so,1428.22,2.25
your honor that's certainly relevant,1430.47,1.35
that at the time of the founding,1431.82,1.08
individuals convicted of misdemeanors,1432.9,2.19
were not denied political rights nor,1435.09,1.68
were they denied the right to possess a,1436.77,1.65
firearm however even if this court,1438.42,2.31
chooses not to look merely at the,1440.73,1.53
historical analysis we ask this court to,1442.26,2.34
confine the scope of the Second,1444.6,1.8
Amendment right to the original public,1446.4,1.95
understanding of the political community,1448.35,1.41
and then turn and ask today who is a,1449.76,2.49
member of the political community,1452.25,1.59
Ian groves remained a member excuse me,1453.84,1.709
an individual like Ian groves remained a,1455.549,2.161
member of the political community and,1457.71,1.349
thus retained his right to bear arms at,1459.059,1.591
the time of the founding and he does so,1460.65,1.529
today so under either analysis,1462.179,2.071
Ian groves retains the second Amendment,1464.25,1.529
right so just does that mean that if,1465.779,3.27
your historical analysis is correct that,1469.049,2.391
felons should be able to recover their,1471.44,2.65
arms when they're released from prison I,1474.09,2.01
think your brief pointed out that it was,1476.1,2.699
only when incarcerated that they,1478.799,3.601
surrendered that right so your honor,1482.4,2.94
that's certainly a more difficult,1485.34,1.65
question to answer what we know is that,1486.99,2.25
at present the vast majority of states,1489.24,2.069
limit the political rights of felons at,1491.309,3.451
at least some time I think if we look at,1494.76,2.1
the current political landscape the best,1496.86,2.069
way to describe the felons position in,1498.929,2.461
the political community is contested so,1501.39,2.82
that individual may regain their right,1504.21,1.709
to bear arms to say so conclusively,1505.919,1.74
would require a little bit more,1507.659,1.02
historical analysis do we need to look,1508.679,1.98
at the political community definition in,1510.659,1.951
each of the states that justice,1512.61,1.319
Sotomayor was referring to as to whether,1513.929,3.151
who when felons have rights to vote when,1517.08,2.37
they don't so Your Honor we've put forth,1519.45,2.969
the theory that the political community,1522.419,1.681
is determined on a national scale,1524.1,1.53
because we're not talking about any,1525.63,1.56
specific case excuse me,1527.19,1.53
State Constitution here we're asking,1528.72,2.1
about the Federal Constitution which is,1530.82,1.859
at one point in time you're asking us to,1532.679,1.831
look at the founding fathers but should,1534.51,3.269
we look at it in the time of the Wild,1537.779,3.541
West should we look at it today should,1541.32,4.02
we look at it 50 years ago how do we,1545.34,2.25
decide what moment that national,1547.59,3.93
consensus was founded so your honor,1551.52,3.269
there's actually two moving parts to,1554.789,1.591
this analysis if I may explain first is,1556.38,2.789
where we set the rule for what is the,1559.169,2.01
scope of the political community now the,1561.179,3.24
court in Heller tells us that we need to,1564.419,1.441
look to the original public,1565.86,1.08
understanding of the rule the Heller,1566.94,1.8
Court limited its analysis through the,1568.74,2.01
end of the 1800s and so we encourage the,1570.75,2.52
court to do the same today,1573.27,1.32
once the scope of the Second Amendment,1574.59,1.89
has been set the rule has been set as,1576.48,2.13
the political community we then turn to,1578.61,2.46
today today who is a member of that,1581.07,2.46
political community so we're asking this,1583.53,2.07
court to determine the now,1585.6,1.28
no consensus today as to who retains,1586.88,2.25
political rights you mean it have to do,1589.13,1.98
that can you win just on a straight-up,1591.11,2.9
analysis that your as-applied challenges,1594.01,3.91
is good for a misdemeanor and no one's,1597.92,4.83
ever made that yet it's been held by,1602.75,2.73
heard by our court on that point can we,1605.48,3.3
just do we have to don't do this,1608.78,2.4
originalist analysis in order to rule,1611.18,2.61
for your client so it's true your honor,1613.79,2.88
that no excuse me none of the lower,1616.67,1.92
courts besides the Third Circuit in,1618.59,1.56
bender up has considered a case like,1620.15,1.89
this where the individual at issue was a,1622.04,2.01
misdemeanant,1624.05,0.69
and in the bender up case the court,1624.74,1.47
found that the law was unconstitutional,1626.21,1.55
as applied to that individual this Court,1627.76,3.25
does need to answer two questions the,1631.01,2.01
first is whether Ian groves has the,1633.02,1.71
right and the second is whether the,1634.73,1.74
burden on that right is justified so to,1636.47,2.16
determine who has the right we ask this,1638.63,2.52
court to look to the original public,1641.15,1.44
understanding of the Constitution that's,1642.59,1.29
assuming we believe he was convicted of,1643.88,2.94
a misdemeanor generally the definition,1646.82,2.79
of felon has always been someone who can,1649.61,3.69
be jailed for over a year and under the,1653.3,2.79
crime he committed he could have been,1656.09,1.59
jailed for more than two years far above,1657.68,2.79
the minimum that most felons are,1660.47,4.37
announced it's only the oddities of this,1664.84,3.31
state Ames a state that makes this amis,1668.15,4.59
misdemeanor so why shouldn't we use the,1672.74,5.25
normal understanding of felons you're,1677.99,3.18
asking us to use the original,1681.17,1.74
